Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"南通海门变", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"中双港站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"堡北站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"陈家镇站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"长兴站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"南门站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"红星站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"新海站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"竖河站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"长江站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"汲浜站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"东风站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"庙镇站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"园区站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"明珠站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"建设站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"湄洲站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"大同站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"五滧站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"堡镇站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"上船站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"港沿站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"裕安站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"前哨站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"陈东站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"崇安站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"新闸站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"跃进站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"三星站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"前卫站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"前进站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"富盛站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"新河站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"森林站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
"启隆站", 220, 1,     134638,    0.0,      1.06, 2,     134638, -120.0,      1.06, 3,     134638,  120.0,      1.06
