Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Line.中堡线"              ,   1,         3.6,       -44.1,         0.0,         0.0,         0.0,         0.0
"Line.中堡线"              ,   2,        -3.6,        39.0
"Line.家堡线"              ,   1,        46.9,        30.5,         0.0,         0.0,         0.0,         0.0
"Line.家堡线"              ,   2,       -46.9,       -35.6
"Line.家长线"              ,   1,       -79.2,       -29.1,         0.0,         0.0,         0.0,         0.0
"Line.家长线"              ,   2,        79.2,        24.0
"Line.海中线"              ,   1,       124.6,      -131.2,         0.0,         0.0,         0.0,         0.0
"Line.海中线"              ,   2,      -124.6,       126.1
"Line.中城线"              ,   1,        16.0,        -8.0,         0.0,         0.0,         0.0,         0.0
"Line.中城线"              ,   2,       -16.0,         2.9
"Line.中堡线2"             ,   1,         3.6,       -44.1,         0.0,         0.0,         0.0,         0.0
"Line.中堡线2"             ,   2,        -3.6,        39.0
"Line.中红线"              ,   1,        -3.9,        -0.2,         0.0,         0.0,         0.0,         0.0
"Line.中红线"              ,   2,         3.9,        -4.9
"Line.中新线"              ,   1,       -22.4,        26.3,         0.0,         0.0,         0.0,         0.0
"Line.中新线"              ,   2,        22.4,       -31.4
"Line.中南线"              ,   1,        16.0,        -8.0,         0.0,         0.0,         0.0,         0.0
"Line.中南线"              ,   2,       -16.0,         2.9
"Line.堡竖线"              ,   1,        78.0,         4.4,         0.0,         0.0,         0.0,         0.0
"Line.堡竖线"              ,   2,       -78.0,        -9.5
"Line.堡长线"              ,   1,         5.6,        10.5,         0.0,         0.0,         0.0,         0.0
"Line.堡长线"              ,   2,        -5.6,       -15.6
"Line.家汲线"              ,   1,        28.1,         6.4,         0.0,         0.0,         0.0,         0.0
"Line.家汲线"              ,   2,       -28.1,       -11.5
"Line.家堡线2"             ,   1,        46.9,        30.5,         0.0,         0.0,         0.0,         0.0
"Line.家堡线2"             ,   2,       -46.9,       -35.6
"Line.家长线2"             ,   1,       -79.2,       -29.1,         0.0,         0.0,         0.0,         0.0
"Line.家长线2"             ,   2,        79.2,        24.0
